Город,Штат,Округ,Индекс,Телефонный код,Часовой пояс,Широта,Долгота
Fort Worth,TX,Tarrant,76134,817,CST,32.6449,-97.3294
Fort Worth,TX,Tarrant,76135,817,CST,32.8357,-97.4703
Fort Worth,TX,Tarrant,76136,817,CST,32.8974,-97.4578
Fort Worth,TX,Tarrant,76137,817,CST,32.8586,-97.2904
Fort Worth,TX,Tarrant,76140,817,CST,32.612,-97.2698
Fort Worth,TX,Tarrant,76147,817,CST,32.751,-97.364
Fort Worth,TX,Tarrant,76148,817,CST,32.8627,-97.2499
Fort Worth,TX,Tarrant,76150,817,CST,32.7539,-97.3363
Fort Worth,TX,Tarrant,76155,817,CST,32.8256,-97.0529
Fort Worth,TX,Tarrant,76161,817,CST,32.8075,-97.3535
Fort Worth,TX,Tarrant,76162,817,CST,32.6633,-97.3763
Fort Worth,TX,Tarrant,76163,817,CST,32.6633,-97.3763
Fort Worth,TX,Tarrant,76164,817,CST,32.783,-97.3497
Fort Worth,TX,Tarrant,76177,817,CST,32.9747,-97.3349
Fort Worth,TX,Tarrant,76178,817,CST,32.8985,-97.3048
Fort Worth,TX,Tarrant,76179,817,CST,32.9064,-97.4332
Fort Worth,TX,Tarrant,76180,817,CST,32.8662,-97.2161
Fort Worth,TX,Tarrant,76181,817,CST,32.8102,-97.2275
Fort Worth,TX,Tarrant,76182,817,CST,32.7968,-97.1933
Fort Worth,TX,Tarrant,76185,817,CST,32.8655,-97.2159
Fort Worth,TX,Tarrant,76191,817,CST,32.8075,-97.3525
Fort Worth,TX,Tarrant,76192,817,CST,32.9302,-97.4358
Fort Worth,TX,Tarrant,76193,817,CST,32.7465,-97.3296
Fort Worth,TX,Tarrant,76195,817,CST,32.7289,-97.318
Fort Worth,TX,Tarrant,76196,817,CST,32.756,-97.3348
Fort Worth,TX,Tarrant,76197,817,CST,32.7796,-97.3003
Fort Worth,TX,Tarrant,76198,817,CST,32.7534,-97.3327
Fort Worth,TX,Tarrant,76199,817,CST,32.7502,-97.3356
Fort Yates,ND,Sioux,58538,701,CST,46.0794,-100.641
Fort Yukon,AK,Yukon-Koyukuk,99740,907,PST-1,66.4356,-145.829
Fortescue,NJ,Cumberland,8321,856,EST,39.2375,-75.1719
Fortine,MT,Lincoln,59918,406,MST,48.7906,-114.886
Fortson,GA,Muscogee,31808,706,EST,32.5952,-84.9692
Fortuna,ND,Divide,58844,701,CST,48.91,-103.779
Fortuna,MO,Moniteau,65034,660,CST,38.5796,-92.7746
Fortuna,CA,Humboldt,95540,707,PST,40.5818,-124.14
Fortville,IN,Hancock,46040,317,EST,39.9274,-85.8259
Foss,OK,Washita,73647,580,CST,35.3994,-99.1099
Fossil,OR,Wheeler,97830,541,PST,45.1027,-120.132
Fosston,MN,Polk,56542,218,CST,47.5791,-95.7511
Foster,RI,Providence,2825,401,EST,41.785,-71.7278
Foster,VA,Mathews,23056,804,EST,37.4527,-76.3852
Foster,WV,Boone,25081,304,EST,38.0907,-81.7713
Foster,MO,Bates,64745,660,CST,38.1713,-94.5535
Foster,KY,Bracken,41043,606,EST,38.7476,-84.1517
Foster,NE,Pierce,68737,402,CST,42.2642,-97.6593
Foster,OK,Stephens,73434,580,CST,34.6363,-97.5542
Foster,OR,Linn,97345,541,PST,44.4249,-122.57
Foster City,MI,Dickinson,49834,906,CST,46.081,-87.7779
Foster City,CA,San Mateo,94404,650,PST,37.5529,-122.27
Fosters,AL,Tuscaloosa,35463,205,CST,33.1246,-87.7257
Fosterville,TN,Rutherford,37063,615,CST,35.7463,-86.389
Fostoria,OH,Seneca,44830,419,EST,41.1835,-83.4071
Fostoria,IA,Clay,51340,712,CST,43.2127,-95.2104
Fostoria,MI,Tuscola,48435,989,EST,43.2614,-83.3818
Fouke,AR,Miller,71837,870,CST,33.2849,-93.8902
Fountain,NC,Pitt,27829,252,EST,35.6742,-77.6387
Fountain,MN,Fillmore,55935,507,CST,43.7176,-92.1497
Fountain,FL,Bay,32438,850,CST,30.4813,-85.4228
Fountain,MI,Mason,49410,231,EST,44.0184,-86.1358
Fountain,CO,El Paso,80817,719,MST,38.6968,-104.697
Fountain City,IN,Wayne,47341,765,EST,39.9703,-84.911
Fountain City,WI,Buffalo,54629,608,CST,44.13,-91.7145
Fountain Green,UT,Sanpete,84632,435,MST,39.5383,-111.681
Fountain Hill,AR,Ashley,71642,870,CST,33.3442,-91.8207
Fountain Hills,AZ,Maricopa,85268,480,MST,33.6034,-111.731
Fountain Hills,AZ,Maricopa,85269,480,MST,33.6041,-111.719
Fountain Inn,SC,Greenville,29644,864,EST,34.6815,-82.2208
Fountain Run,KY,Monroe,42133,270,CST,36.7049,-85.9363
Fountain Valley,CA,Orange,92708,714,PST,33.7099,-117.947
Fountain Valley,CA,Orange,92728,714,PST,33.7128,-117.928
Fountaintown,IN,Shelby,46130,317,EST,39.6954,-85.7813
Fountainville,PA,Bucks,18923,215,EST,40.2416,-75.0158
Four Lakes,WA,Spokane,99014,509,PST,47.5613,-117.593
Four Oaks,NC,Johnston,27524,919,EST,35.4489,-78.4264
Four States,WV,Marion,26572,304,EST,39.4797,-80.31
Fourmile,KY,Knox,40939,606,EST,36.7406,-83.6931
Fowler,OH,Trumbull,44418,330,EST,41.3039,-80.6082
Fowler,IN,Benton,47944,765,EST,40.6182,-87.3187
Fowler,IN,Benton,47984,765,EST,40.5052,-87.4541
Fowler,MI,Clinton,48835,989,EST,43.011,-84.7489
Fowler,KS,Meade,67844,620,CST,37.3841,-100.193
Fowler,IL,Adams,62338,217,CST,39.9906,-91.2354
Fowler,CO,Otero,81039,719,MST,38.1244,-104.022
Fowler,CA,Fresno,93625,559,PST,36.6261,-119.671
Fowlerton,IN,Grant,46930,765,EST,40.411,-85.5737
Fowlerton,TX,La Salle,78021,830,CST,28.5301,-98.8318
Fowlerville,MI,Livingston,48836,517,EST,42.6645,-84.0695
Fowlstown,GA,Decatur,31752,229,EST,30.8763,-84.5852
Fowlstown,GA,Decatur,39852,229,,30.8763,-84.5852
Fox,OK,Carter,73435,580,CST,34.3636,-97.4919
Fox,AR,Stone,72051,870,CST,35.7641,-92.3064
Fox Island,WA,Pierce,98333,253,PST,47.2484,-122.624
Fox Lake,WI,Dodge,53933,920,CST,43.564,-88.9124
Fox Lake,IL,Lake,60020,847,CST,42.392,-88.1746
Fox River Grove,IL,McHenry,60021,847,CST,42.1909,-88.2233
Fox Valley,IL,Du Page,60597,630,CST,41.7755,-88.2494
Fox Valley,IL,Du Page,60599,630,CST,41.7724,-88.3607
Foxboro,MA,Norfolk,2035,508,EST,42.0649,-71.2421
Foxboro,WI,Douglas,54836,715,CST,46.4844,-92.1871
Foxburg,PA,Clarion,16036,724,EST,41.1552,-79.654
Foxhome,MN,Wilkin,56543,218,CST,46.2526,-96.3217
Foxworth,MS,Marion,39483,601,CST,31.255,-89.9338
Foyil,OK,Rogers,74031,918,CST,36.4337,-95.5205
Frackville,PA,Schuylkill,17931,570,EST,40.7827,-76.2346
Frackville,PA,Schuylkill,17932,570,EST,40.7838,-76.2305
Frakes,KY,Bell,40940,606,EST,36.6251,-83.8982
Frametown,WV,Braxton,26623,304,EST,38.6239,-80.8665
Framingham,MA,Middlesex,1701,508,EST,42.316,-71.4328
Framingham,MA,Middlesex,1702,508,EST,42.271,-71.4218
Framingham,MA,Middlesex,1703,508,EST,42.32,-71.4402
Framingham,MA,Middlesex,1704,508,EST,42.3198,-71.4406
Framingham,MA,Middlesex,1705,508,EST,42.3201,-71.44
Francestown,NH,Hillsborough,3043,603,EST,43.0034,-71.8647
Francesville,IN,Pulaski,47946,219,EST,40.9853,-86.8824
Francis,OK,Pontotoc,74844,580,CST,34.8749,-96.5926
Francis Creek,WI,Manitowoc,54214,920,CST,44.2039,-87.7201
Francisco,IN,Gibson,47649,812,CST,38.3337,-87.4453
Francitas,TX,Jackson,77961,361,CST,28.8184,-96.4428
Franconia,NH,Grafton,3580,603,EST,44.2284,-71.75
Franconia,PA,Montgomery,18924,215,EST,40.3078,-75.3581
Frankenmuth,MI,Saginaw,48734,989,EST,43.3396,-83.7472
Frankenmuth,MI,Saginaw,48787,989,EST,43.3316,-83.738
Frankewing,TN,Lincoln,38459,931,CST,35.1722,-86.7776
Frankford,DE,Sussex,19945,302,EST,38.5216,-75.2024
Frankford,WV,Greenbrier,24938,304,EST,37.9105,-80.3589
Frankford,MO,Pike,63441,573,CST,39.4892,-91.2792
Frankfort,NY,Herkimer,13340,315,EST,43.0515,-75.1241
Frankfort,ME,Waldo,4438,207,EST,44.5962,-68.9264
Frankfort,OH,Ross,45628,740,EST,39.3875,-83.1959
Frankfort,MI,Benzie,49635,231,EST,44.6305,-86.2157
Frankfort,IN,Clinton,46041,765,EST,40.2646,-86.5285
Frankfort,KY,Franklin,40601,502,EST,38.2006,-84.947
Frankfort,KY,Franklin,40602,502,EST,38.2132,-84.8175
Frankfort,KY,Franklin,40603,502,EST,38.2017,-84.8324
Frankfort,KY,Franklin,40604,502,EST,38.2233,-84.9181
Frankfort,KY,Franklin,40618,502,EST,38.1781,-84.8991
Frankfort,KY,Franklin,40619,502,EST,38.1781,-84.8991
Frankfort,KY,Franklin,40620,502,EST,38.1781,-84.8991
Frankfort,KY,Franklin,40621,502,EST,38.2008,-84.8721
Frankfort,KY,Franklin,40622,502,EST,38.1981,-84.8748
Frankfort,SD,Spink,57440,605,CST,44.7634,-98.2808
Frankfort,IL,Will,60423,815,CST,41.4909,-87.8363
Frankfort,KS,Marshall,66427,785,CST,39.7122,-96.4243
Frankfort Heights,IL,Franklin,62840,618,CST,37.9018,-88.8396
Franklin,NH,Merrimack,3235,603,EST,43.4379,-71.6647
Franklin,MA,Norfolk,2038,508,EST,42.0922,-71.4036
Franklin,VT,Franklin,5457,802,EST,44.9682,-72.8959
Franklin,VA,Franklin City,23851,757,EST,36.6749,-76.9404
Franklin,NY,Delaware,13775,607,EST,42.3379,-75.1608
Franklin,NJ,Sussex,7416,973,EST,41.1113,-74.5955
Franklin,WV,Pendleton,26807,304,EST,38.6187,-79.3841
Franklin,NC,Macon,28734,828,EST,35.2015,-83.3815
Franklin,NC,Macon,28744,828,EST,35.181,-83.3818
Franklin,PA,Venango,16323,814,EST,41.3849,-79.8131
Franklin,KY,Simpson,42134,270,CST,36.7277,-86.5754
Franklin,KY,Simpson,42135,270,CST,36.713,-86.5765
Franklin,TN,Williamson,37064,615,CST,35.9225,-86.8884
Franklin,TN,Williamson,37065,615,CST,35.925,-86.8688
Franklin,TN,Williamson,37067,615,CST,35.9254,-86.8052
Franklin,TN,Williamson,37068,615,CST,35.9294,-86.842
Franklin,TN,Williamson,37069,615,CST,35.9917,-86.8963
Franklin,ME,Hancock,4634,207,EST,44.6259,-68.2204
Franklin,OH,Warren,45005,513,EST,39.529,-84.2974
Franklin,WI,Milwaukee,53132,414,CST,42.8873,-88.0096
Franklin,GA,Heard,30217,706,EST,33.3103,-85.1079
Franklin,AL,Monroe,36444,251,CST,31.7219,-87.455
Franklin,IN,Johnson,46131,317,EST,39.4846,-86.0525
Franklin,AR,Izard,72512,870,CST,36.2245,-91.7488
Franklin,AR,Izard,72536,870,CST,36.1224,-91.8089
Franklin,MN,Renville,55333,507,CST,44.5268,-94.8833
Franklin,IL,Morgan,62638,217,CST,39.6366,-90.0322
Franklin,ID,Franklin,83237,208,MST,42.0268,-111.795
Franklin,NE,Franklin,68939,308,CST,40.0961,-98.953
Franklin,KS,Crawford,66735,620,CST,37.5259,-94.7107
Franklin,LA,Saint Mary,70538,337,CST,29.7679,-91.419
Franklin,TX,Robertson,77856,979,CST,31.0571,-96.4252
Franklin,MO,Howard,65250,660,CST,39.0592,-92.841
Franklin Furnace,OH,Scioto,45629,740,EST,38.6586,-82.8081
Franklin Grove,IL,Lee,61031,815,CST,41.8295,-89.3077
Franklin Lakes,NJ,Bergen,7417,201,EST,41.0091,-74.2081
Franklin Park,NJ,Somerset,8823,732,EST,40.4411,-74.5426
Franklin Park,IL,Cook,60131,847,CST,41.9343,-87.8764
Franklin Park,IL,Du Page,60398,847,,41.9346,-87.8636
Franklin Springs,NY,Oneida,13341,315,EST,43.0366,-75.3925
Franklin Springs,GA,Franklin,30639,706,EST,34.2747,-83.1751
Franklin Square,NY,Nassau,11010,516,EST,40.7006,-73.676
Franklinton,NC,Franklin,27525,919,EST,36.0961,-78.4516
Franklinton,LA,Washington,70438,985,CST,30.8347,-90.1219
Franklintown,PA,York,17323,717,EST,40.0747,-77.0285
Franklinville,NJ,Gloucester,8322,856,EST,39.6307,-75.0467
Franklinville,NY,Cattaraugus,14737,716,EST,42.3335,-78.4326
Franklinville,NC,Randolph,27248,336,EST,35.7468,-79.6987
Frankston,TX,Anderson,75763,903,CST,32.0537,-95.4965
Franksville,WI,Racine,53126,262,CST,42.781,-87.9596
Frankton,IN,Madison,46044,765,EST,40.2215,-85.7718
Franktown,VA,Northampton,23354,757,EST,37.4698,-75.9139
Franktown,CO,Douglas,80116,303,MST,39.3541,-104.711
Frankville,AL,Washington,36538,251,CST,31.6568,-88.1339
Frannie,WY,Park,82423,307,MST,44.9715,-108.621
Fraser,MI,Macomb,48026,586,EST,42.5358,-82.9511
Fraser,CO,Grand,80442,970,MST,39.9535,-105.812
Frazee,MN,Becker,56544,218,CST,46.7366,-95.7162
Frazer,MT,Valley,59225,406,MST,48.0592,-106.042
Frazeysburg,OH,Muskingum,43822,740,EST,40.1224,-82.1267
Frazier Park,CA,Kern,93222,661,PST,34.8361,-119.055
Frazier Park,CA,Kern,93225,661,PST,34.8309,-119.039
Fraziers Bottom,WV,Putnam,25082,304,EST,38.5676,-82.0255
Fred,TX,Tyler,77616,409,CST,30.6084,-94.1859
Frederic,MI,Crawford,49733,989,EST,44.795,-84.7241
Frederic,WI,Polk,54837,715,CST,45.6735,-92.3774
Frederica,DE,Kent,19946,302,EST,39.0174,-75.4799
Frederick,MD,Frederick,21701,301,EST,39.4183,-77.3362
Frederick,MD,Frederick,21702,301,EST,39.4944,-77.4535
Frederick,MD,Frederick,21703,301,EST,39.3668,-77.4636
Frederick,MD,Frederick,21704,301,EST,39.374,-77.3905
Frederick,MD,Frederick,21705,301,EST,39.4138,-77.4083
Frederick,MD,Frederick,21709,301,EST,39.4282,-77.4169
Frederick,PA,Montgomery,19435,610,EST,40.3031,-75.5374
Frederick,SD,Brown,57441,605,CST,45.8328,-98.506
Frederick,IL,Schuyler,62639,217,CST,40.056,-90.494
Frederick,OK,Tillman,73542,580,CST,34.392,-99.0133
Frederick,CO,Weld,80530,303,MST,40.1015,-104.936
Fredericksburg,VA,Fredericksburg City,22401,540,EST,38.2923,-77.4911
Fredericksburg,VA,Fredericksburg City,22402,540,EST,38.2561,-77.5682
Fredericksburg,VA,Fredericksburg City,22404,540,EST,38.2985,-77.4582
Fredericksburg,VA,Stafford,22405,540,EST,38.3151,-77.4113
Fredericksburg,VA,Stafford,22406,540,EST,38.4134,-77.548
Fredericksburg,VA,Spotsylvania,22407,540,EST,38.2811,-77.5585
Fredericksburg,VA,Spotsylvania,22408,540,EST,38.2086,-77.4584
Fredericksburg,VA,Spotsylvania,22412,540,EST,38.2993,-77.4871
Fredericksburg,OH,Wayne,44627,330,EST,40.6862,-81.8542
Fredericksburg,IN,Washington,47120,812,EST,38.6851,-85.7752
Fredericksburg,PA,Lebanon,17026,717,EST,40.4475,-76.4148
Fredericksburg,IA,Chickasaw,50630,563,CST,42.9655,-92.1973
Fredericksburg,TX,Gillespie,78624,830,CST,30.3595,-98.849
Fredericktown,PA,Washington,15333,724,EST,40.0265,-80.0206
Fredericktown,OH,Knox,43019,740,EST,40.4912,-82.5319
Fredericktown,MO,Madison,63645,573,CST,37.5834,-90.3096
Frederika,IA,Bremer,50631,319,CST,42.804,-92.2681
Frederiksted,VI,Saint Croix,840,340,EST+1,17.7137,-64.8817
Frederiksted,VI,Saint Croix,841,340,EST+1,17.7137,-64.8817
Fredonia,NY,Chautauqua,14063,716,EST,42.4263,-79.3388
Fredonia,PA,Mercer,16124,724,EST,41.3219,-80.2628
Fredonia,KY,Caldwell,42411,270,CST,37.2158,-87.9852
Fredonia,ND,Logan,58440,701,CST,46.3638,-99.2886
Fredonia,TX,Mason,76842,915,CST,30.9174,-99.1403
Fredonia,WI,Ozaukee,53021,262,CST,43.4985,-88.0057
Fredonia,KS,Wilson,66736,620,CST,37.5334,-95.8226
Fredonia,AZ,Coconino,86022,928,MST,36.9484,-112.529
Fredonia,AZ,Coconino,86052,928,MST,36.95,-112.517
Free Soil,MI,Mason,49411,231,EST,44.1072,-86.2399
Free Union,VA,Albemarle,22940,434,EST,38.1804,-78.5832
Freeborn,MN,Freeborn,56032,507,CST,43.7662,-93.563
Freeburg,PA,Snyder,17827,570,EST,40.7636,-76.9405
Freeburg,IL,Saint Clair,62243,618,CST,38.4252,-89.9062
Freeburg,MO,Osage,65035,573,CST,38.3365,-91.9282
Freeburn,KY,Pike,41528,606,EST,37.5459,-82.1377
Freedom,PA,Beaver,15042,724,EST,40.6821,-80.2232
Freedom,NH,Carroll,3836,603,EST,43.8239,-71.0876
Freedom,NY,Cattaraugus,14065,716,EST,42.4766,-78.3164
Freedom,ME,Waldo,4941,207,EST,44.4655,-69.3048
Freedom,IN,Owen,47431,812,EST,39.2106,-86.8507
Freedom,WY,Lincoln,83120,307,MST,43.0446,-111.031
Freedom,OK,Woods,73842,580,CST,36.8805,-99.1674
Freedom,CA,Santa Cruz,95019,831,PST,36.9359,-121.777
Freehold,NY,Greene,12431,518,EST,42.3737,-74.0579
Freehold,NJ,Monmouth,7728,732,EST,40.2454,-74.2773
Freeland,PA,Luzerne,18224,570,EST,41.0164,-75.8998
Freeland,MD,Baltimore,21053,410,EST,39.6935,-76.7174
Freeland,MI,Saginaw,48623,989,EST,43.5032,-84.1284
Freeland,WA,Island,98249,360,PST,48.0224,-122.546
Freelandville,IN,Knox,47535,812,EST,38.8517,-87.4151
Freeman,VA,Brunswick,23856,434,EST,36.713,-77.5538
Freeman,WV,Mercer,24724,304,EST,37.33,-81.3081
Freeman,MO,Cass,64746,816,CST,38.6207,-94.5031
Freeman,SD,Hutchinson,57029,605,CST,43.3485,-97.4312
Freeman Spur,IL,Williamson,62841,618,CST,37.8009,-89.0078
Freeport,ME,Cumberland,4032,207,EST,43.8546,-70.1046
Freeport,ME,Cumberland,4033,207,EST,43.8569,-70.1003
Freeport,ME,Cumberland,4034,207,EST,43.8569,-70.1036
Freeport,NY,Nassau,11520,516,EST,40.654,-73.5859
Freeport,PA,Armstrong,16229,724,EST,40.7173,-79.6575
Freeport,FL,Walton,32439,850,CST,30.4581,-86.2161
Freeport,MI,Barry,49325,616,EST,42.7514,-85.3069
Freeport,OH,Harrison,43973,740,EST,40.1544,-81.3231
Freeport,IL,Stephenson,61032,815,CST,42.3273,-89.623
Freeport,MN,Stearns,56331,320,CST,45.6814,-94.6798
Freeport,KS,Harper,67049,620,CST,37.183,-97.857
Freeport,TX,Brazoria,77541,979,CST,29.0141,-95.3146
Freeport,TX,Brazoria,77542,979,CST,28.9514,-95.3643
Freer,TX,Duval,78357,361,CST,27.863,-98.5628
Freetown,IN,Jackson,47235,812,EST,39.0086,-86.1227
Freeville,NY,Tompkins,13068,607,EST,42.5026,-76.3564
Freistatt,MO,Lawrence,65654,417,CST,37.02,-93.8974
Fremont,NH,Rockingham,3044,603,EST,42.9733,-71.1118
Fremont,NC,Wayne,27830,919,EST,35.5429,-77.965
Fremont,MI,Newaygo,49412,231,EST,43.4669,-85.9483
Fremont,MI,Newaygo,49413,231,EST,43.4615,-85.9522
Fremont,IN,Steuben,46737,260,EST,41.7219,-84.9202
Fremont,MO,Carter,63941,573,CST,36.8538,-91.1233
Fremont,WI,Waupaca,54940,920,CST,44.2134,-88.8294
Fremont,IA,Mahaska,52561,641,CST,41.2135,-92.4352
Fremont,OH,Sandusky,43420,419,EST,41.346,-83.1187
Fremont,NE,Dodge,68025,402,CST,41.4399,-96.4932
Fremont,NE,Dodge,68026,402,CST,41.4408,-96.4921
Fremont,CA,Alameda,94536,510,PST,37.5628,-122.0
Fremont,CA,Alameda,94537,510,PST,37.5562,-122.015
Fremont,CA,Alameda,94538,510,PST,37.5268,-121.965
Fremont,CA,Alameda,94539,510,PST,37.518,-121.929
Fremont,CA,Alameda,94555,510,PST,37.5737,-122.047
Fremont Center,NY,Sullivan,12736,845,EST,41.8489,-75.0242
French Camp,MS,Choctaw,39745,662,CST,33.2896,-89.3998
French Camp,CA,San Joaquin,95231,209,PST,37.8773,-121.282
French Creek,WV,Upshur,26218,304,EST,38.8462,-80.27
French Gulch,CA,Shasta,96033,530,PST,40.7341,-122.621
French Lick,IN,Orange,47432,812,EST,38.5459,-86.619
French Settlement,LA,Livingston,70733,225,CST,30.3123,-90.7991
French Village,MO,Saint Francois,63036,573,CST,37.7614,-90.4311
Frenchboro,ME,Hancock,4635,207,EST,44.1126,-68.3547
Frenchburg,KY,Menifee,40322,606,EST,37.9595,-83.6249
Frenchglen,OR,Harney,97736,541,PST,42.8253,-118.914
Frenchmans Bayou,AR,Mississippi,72338,870,CST,35.4663,-90.0569
Frenchton,WV,Upshur,26219,304,EST,38.8361,-80.2587
Frenchtown,NJ,Hunterdon,8825,908,EST,40.5235,-75.0476
Frenchtown,MT,Missoula,59834,406,MST,47.0472,-114.239
Frenchville,ME,Aroostook,4745,207,EST,46.6811,-68.3336
Frenchville,PA,Clearfield,16836,814,EST,41.1463,-78.2443
Fresh Meadows,NY,Queens,11365,718,EST,40.7395,-73.7958
Fresno,OH,Coshocton,43824,330,EST,40.3719,-81.7695
Fresno,CA,Fresno,93701,559,PST,36.7498,-119.788
Fresno,CA,Fresno,93702,559,PST,36.7406,-119.758
Fresno,CA,Fresno,93703,559,PST,36.7686,-119.762
Fresno,CA,Fresno,93704,559,PST,36.7999,-119.799
Fresno,CA,Fresno,93705,559,PST,36.7919,-119.83
Fresno,CA,Fresno,93706,559,PST,36.6523,-119.899
Fresno,CA,Fresno,93707,559,PST,36.7334,-119.784
Fresno,CA,Fresno,93708,559,PST,36.7334,-119.784
Fresno,CA,Fresno,93709,559,PST,36.7335,-119.784
Fresno,CA,Fresno,93710,559,PST,36.8263,-119.76
Fresno,CA,Fresno,93711,559,PST,36.8208,-119.844
Fresno,CA,Fresno,93712,559,PST,36.6132,-119.775
Fresno,CA,Fresno,93714,559,PST,36.7334,-119.784
Fresno,CA,Fresno,93715,559,PST,36.7334,-119.784
Fresno,CA,Fresno,93716,559,PST,36.7334,-119.784
Fresno,CA,Fresno,93717,559,PST,36.7373,-119.789
Fresno,CA,Fresno,93718,559,PST,36.7334,-119.784
Fresno,CA,Fresno,93720,559,PST,36.8616,-119.765
Fresno,CA,Fresno,93721,559,PST,36.7344,-119.783
Fresno,CA,Fresno,93722,559,PST,36.7928,-119.886
Fresno,CA,Fresno,93724,559,PST,36.7247,-119.795
Fresno,CA,Fresno,93725,559,PST,36.6658,-119.739
Fresno,CA,Fresno,93726,559,PST,36.7909,-119.763
Fresno,CA,Fresno,93727,559,PST,36.7536,-119.697
Fresno,CA,Fresno,93728,559,PST,36.7581,-119.815
Fresno,CA,Fresno,93729,559,PST,36.8518,-119.767
Fresno,CA,Fresno,93740,559,PST,36.8234,-119.76
Fresno,CA,Fresno,93741,559,PST,36.7995,-119.8
Fresno,CA,Fresno,93744,559,PST,36.7585,-119.799
Fresno,CA,Fresno,93745,559,PST,36.7059,-119.753
Fresno,CA,Fresno,93747,559,PST,36.8037,-119.679
Fresno,CA,Fresno,93750,559,PST,36.8392,-119.789
Fresno,CA,Fresno,93755,559,PST,36.79,-119.79
Fresno,CA,Fresno,93760,559,PST,36.7354,-119.781
Fresno,CA,Fresno,93761,559,PST,36.75,-119.788
Fresno,CA,Fresno,93762,559,PST,36.6389,-119.904
Fresno,CA,Fresno,93764,559,PST,36.7351,-119.783
Fresno,CA,Fresno,93765,559,PST,36.8353,-119.832
Fresno,CA,Fresno,93771,559,PST,36.7496,-119.789
Fresno,CA,Fresno,93772,559,PST,36.7496,-119.789
Fresno,CA,Fresno,93773,559,PST,36.7187,-119.858
Fresno,CA,Fresno,93774,559,PST,36.7496,-119.79
Fresno,CA,Fresno,93775,559,PST,36.7358,-119.75
Fresno,CA,Fresno,93776,559,PST,36.75,-119.788
Fresno,CA,Fresno,93777,559,PST,36.7496,-119.789
Fresno,CA,Fresno,93778,559,PST,36.7496,-119.789
Fresno,CA,Fresno,93779,559,PST,36.7496,-119.789
Fresno,CA,Fresno,93780,559,PST,36.8586,-119.786
Fresno,CA,Fresno,93784,559,PST,36.8248,-119.763
Fresno,CA,Fresno,93786,559,PST,36.6393,-119.905
Fresno,CA,Fresno,93790,559,PST,36.7882,-119.828
Fresno,CA,Fresno,93791,559,PST,36.7881,-119.829
Fresno,CA,Fresno,93792,559,PST,36.7847,-119.829
Fresno,CA,Fresno,93793,559,PST,36.7871,-119.829
Fresno,CA,Fresno,93794,559,PST,36.7881,-119.829
Fresno,CA,Fresno,93844,559,PST,36.7528,-119.674
Fresno,CA,Fresno,93888,559,PST,36.7536,-119.677
Fresno,CA,Fresno,93650,559,PST,36.841,-119.8
Fresno,TX,Fort Bend,77545,281,CST,29.5454,-95.4698
Frewsburg,NY,Chautauqua,14738,716,EST,42.0525,-79.1359
Friant,CA,Fresno,93626,559,PST,36.9892,-119.691
Friars Point,MS,Coahoma,38631,662,CST,34.3631,-90.6351
Friday Harbor,WA,San Juan,98250,360,PST,48.541,-123.066
Friedens,PA,Somerset,15541,814,EST,40.0082,-78.8957
Friedensburg,PA,Schuylkill,17933,570,EST,40.6028,-76.2395
Friedheim,MO,Cape Girardeau,63747,573,CST,37.5551,-89.8393
Friend,NE,Saline,68359,402,CST,40.6411,-97.2668
Friendly,WV,Tyler,26146,304,EST,39.4912,-81.0148
Friendship,NY,Allegany,14739,585,EST,42.2051,-78.1397
Friendship,MD,Anne Arundel,20758,410,EST,38.735,-76.5942
Friendship,ME,Knox,4547,207,EST,44.0548,-69.0945
Friendship,TN,Crockett,38034,731,CST,35.9087,-89.1914
Friendship,WI,Adams,53927,608,CST,43.9706,-89.8167
Friendship,WI,Adams,53934,608,CST,43.9781,-89.8364
Friendship,OH,Scioto,45630,740,EST,38.6977,-83.0938
Friendship,IN,Ripley,47021,812,EST,39.1186,-85.2107
Friendship,AR,Hot Spring,71942,501,CST,34.2465,-92.9835
Friendsville,PA,Susquehanna,18818,570,EST,41.905,-76.0461
Friendsville,MD,Garrett,21531,301,EST,39.6634,-79.4043
Friendsville,TN,Blount,37737,865,EST,35.7727,-84.1561
Friendswood,TX,Galveston,77546,281,CST,29.5165,-95.2033
Friendswood,TX,Galveston,77549,281,CST,29.5312,-95.2005
Frierson,LA,De Soto,71027,318,CST,32.2321,-93.6765
Fries,VA,Grayson,24330,276,EST,36.7321,-81.0292
Friesland,WI,Columbia,53935,920,CST,43.5885,-89.0662
Friona,TX,Parmer,79035,806,CST,34.6436,-102.724
Frisco,NC,Dare,27936,252,EST,35.2383,-75.6211
Frisco,TX,Collin,75034,972,CST,33.1523,-96.8499
Frisco,TX,Collin,75035,972,CST,33.1662,-96.7758
Frisco,CO,Summit,80443,970,MST,39.5744,-106.097
Frisco City,AL,Monroe,36445,251,CST,31.4156,-87.4204
Fritch,TX,Hutchinson,79036,806,CST,35.6368,-101.595
Frohna,MO,Perry,63748,573,CST,37.676,-89.6618
Froid,MT,Roosevelt,59226,406,MST,48.3366,-104.49
Fromberg,MT,Carbon,59029,406,MST,45.3918,-108.91
Front Royal,VA,Warren,22630,540,EST,38.9351,-78.1569
Frontenac,MN,Goodhue,55026,651,CST,44.4953,-92.3593
Frontier,MI,Hillsdale,49239,517,EST,41.7935,-84.6251
